Rank,Team,Goals per Match,Total Goals Scored,Matches,Country
1,Bayern München,2.8,94,34,GER
2,Bayer Leverkusen,2.6,89,34,GER
3,VfB Stuttgart,2.3,78,34,GER
4,RB Leipzig,2.3,77,34,GER
5,Borussia Dortmund,2,68,34,GER
6,TSG Hoffenheim,1.9,66,34,GER
7,Borussia Mönchengladbach,1.6,56,34,GER
8,Eintracht Frankfurt,1.5,51,34,GER
9,FC Augsburg,1.5,50,34,GER
9,FC Heidenheim,1.5,50,34,GER
11,Werder Bremen,1.4,48,34,GER
12,SC Freiburg,1.3,45,34,GER
13,VfL Bochum,1.2,42,34,GER
14,Wolfsburg,1.2,41,34,GER
15,Mainz 05,1.1,39,34,GER
16,Union Berlin,1,33,34,GER
17,SV Darmstadt,0.9,30,34,GER
18,FC Köln,0.8,28,34,GER
